series_id                     	year	period	value	footnote_codes
ORUC1000003E00001171          	2022	A01	37.7	
ORUC1000003E00001172          	2022	A01	13.8	
ORUC1000003E00001173          	2022	A01	48.5	7
ORUC1000003E00001180          	2022	A01	18.5	
ORUC1000003E00001181          	2022	A01	71.5	7
ORUC1000003E00001182          	2022	A01	10.0	
ORUC1000003E00001187          	2022	A01	100.0	7
ORUC1000003E00001190          	2022	A01	45.0	7
ORUC1000003E00001191          	2022	A01	30.3	
ORUC1000003E00001192          	2022	A01	19.4	
ORUC1000003E00001197          	2022	A01	89.0	7
ORUC1000003E00001198          	2022	A01	11.0	
ORUC1000003E00001202          	2022	A01	98.7	7
ORUC1000003E00001205          	2022	A01	45.4	
ORUC1000003E00001206          	2022	A01	54.6	7
ORUC1000003F00001149          	2022	A01	7.1	
ORUC1000003F00001150          	2022	A01	92.9	7
ORUC1000003F00001166          	2022	A01	21.3	
ORUC1000003F00001167          	2022	A01	78.7	7
ORUC1000003F00001171          	2022	A01	57.9	7
ORUC1000003F00001176          	2022	A01	98.4	7
ORUC1000003F00001180          	2022	A01	22.4	
ORUC1000003F00001181          	2022	A01	66.0	7
ORUC1000003F00001182          	2022	A01	11.6	
ORUC1000003F00001187          	2022	A01	100.0	7
ORUC1000003F00001197          	2022	A01	81.4	7
ORUC1000003F00001198          	2022	A01	18.6	
ORUC1000003F00001202          	2022	A01	100.0	7
ORUC1000003H00001150          	2022	A01	93.6	7
ORUC1000003H00001155          	2022	A01	17.7	
ORUC1000003H00001156          	2022	A01	47.0	7
ORUC1000003H00001157          	2022	A01	34.9	
ORUC1000003H00001160          	2022	A01	28.9	
ORUC1000003H00001161          	2022	A01	71.1	7
ORUC1000003H00001166          	2022	A01	33.8	
ORUC1000003H00001167          	2022	A01	64.3	7
ORUC1000003H00001171          	2022	A01	30.0	
ORUC1000003H00001172          	2022	A01	2.8	
ORUC1000003H00001173          	2022	A01	67.2	7
ORUC1000003H00001176          	2022	A01	98.8	7
ORUC1000003H00001180          	2022	A01	17.6	
ORUC1000003H00001181          	2022	A01	77.4	7
ORUC1000003H00001182          	2022	A01	5.0	
ORUC1000003H00001187          	2022	A01	100.0	7
ORUC1000003H00001190          	2022	A01	44.2	7
ORUC1000003H00001191          	2022	A01	23.6	
ORUC1000003H00001192          	2022	A01	24.4	
ORUC1000003H00001197          	2022	A01	95.5	7
ORUC1000003H00001202          	2022	A01	100.0	7
ORUC1000003H00001205          	2022	A01	17.2	
ORUC1000003H00001206          	2022	A01	82.8	7
ORUC1000003I00001150          	2022	A01	100.0	7
ORUC1000003I00001155          	2022	A01	4.0	
ORUC1000003I00001156          	2022	A01	42.5	
ORUC1000003I00001157          	2022	A01	53.4	7
ORUC1000003I00001160          	2022	A01	37.2	
ORUC1000003I00001161          	2022	A01	62.8	7
ORUC1000003I00001166          	2022	A01	52.0	7
ORUC1000003I00001167          	2022	A01	48.0	
ORUC1000003I00001171          	2022	A01	53.0	7
ORUC1000003I00001173          	2022	A01	40.1	
ORUC1000003I00001176          	2022	A01	87.5	7
ORUC1000003I00001177          	2022	A01	12.5	
ORUC1000003I00001180          	2022	A01	31.3	
ORUC1000003I00001181          	2022	A01	50.3	7
ORUC1000003I00001187          	2022	A01	100.0	7
ORUC1000003I00001190          	2022	A01	44.2	7
ORUC1000003I00001191          	2022	A01	16.7	
ORUC1000003I00001192          	2022	A01	29.1	
